date,location,station_reference,temperature_avg_c,temperature_min_c,temperature_max_c,dew_point_c,relative_humidity_pct,precipitation_mm,snow_depth_mm,wind_direction_deg,wind_speed_kmh,peak_wind_gust_kmh,sea_level_pressure_hpa,sunshine_minutes,cloud_cover_okta,visibility_m,weather_condition_code,temperature_range_c,pressure_change_hpa,rainfall_3day_mm,rainfall_7day_mm,next_day_temperature_c
2015-01-22,"Yangon, Myanmar",Yangon International Airport (VYYY),24.35,20.58,28.95,18.39,83.7,0.0,0,169.0,4.75,5.57,1012.16,530.0,2.0,9114.0,1,8.37,0.47,0.0,26.12,24.47
2015-01-23,"Yangon, Myanmar",Yangon International Airport (VYYY),24.47,20.72,30.13,21.43,77.0,0.0,0,163.0,6.65,12.6,1013.14,,3.0,10475.0,1,9.4,0.98,0.0,26.12,23.14
2015-01-24,"Yangon, Myanmar",Yangon International Airport (VYYY),23.14,19.68,27.6,19.61,72.3,0.0,0,185.0,11.03,15.67,1017.59,415.0,2.0,10557.0,1,7.92,4.46,0.0,26.12,24.91
2015-01-25,"Yangon, Myanmar",Yangon International Airport (VYYY),24.91,20.12,27.84,22.23,75.4,0.0,0,243.0,8.53,11.52,1014.01,611.0,1.2,9996.0,1,7.72,-3.58,0.0,0.0,24.12
2015-01-26,"Yangon, Myanmar",Yangon International Airport (VYYY),24.12,20.29,29.0,20.82,,0.0,0,224.0,6.07,7.52,1009.41,401.0,2.5,10808.0,1,8.71,-4.6,0.0,0.0,26.25
2015-01-27,"Yangon, Myanmar",Yangon International Airport (VYYY),26.25,22.51,29.85,22.67,83.5,0.0,0,123.0,7.35,12.7,1011.16,534.0,1.5,11150.0,1,7.35,1.75,0.0,0.0,26.09
2015-01-28,"Yangon, Myanmar",Yangon International Airport (VYYY),26.09,20.62,30.23,22.27,78.8,0.0,0,131.0,8.36,8.9,1012.74,460.0,3.1,12519.0,1,9.61,1.57,0.0,0.0,24.05
2015-01-29,"Yangon, Myanmar",Yangon International Airport (VYYY),24.05,20.01,28.24,20.54,79.3,0.0,0,221.0,9.12,11.19,1014.02,620.0,3.1,9494.0,1,8.23,1.29,0.0,0.0,24.23
2015-01-30,"Yangon, Myanmar",Yangon International Airport (VYYY),24.23,20.0,29.44,21.67,82.8,0.0,0,220.0,9.4,13.93,1011.08,487.0,2.6,10372.0,1,9.43,-2.94,0.0,0.0,25.27
2015-01-31,"Yangon, Myanmar",Yangon International Airport (VYYY),25.27,21.16,30.21,21.8,80.9,0.0,0,140.0,6.15,7.31,1007.32,483.0,2.2,10836.0,1,9.06,-3.76,0.0,0.0,24.41
2015-02-01,"Yangon, Myanmar",Yangon International Airport (VYYY),24.41,21.3,30.11,18.61,82.0,0.0,0,239.0,7.82,15.65,1009.9,491.0,4.0,9030.0,3,8.81,2.58,0.0,0.0,25.42
2015-02-02,"Yangon, Myanmar",Yangon International Airport (VYYY),25.42,21.55,28.84,22.29,76.0,0.0,0,182.0,5.85,6.65,1008.41,396.0,3.9,11016.0,1,7.28,-1.48,0.0,0.0,23.61
2015-02-03,"Yangon, Myanmar",Yangon International Airport (VYYY),23.61,19.7,28.29,21.29,75.3,0.0,0,168.0,8.22,8.62,1011.87,612.0,0.4,9470.0,1,8.6,3.46,0.0,0.0,24.84
2015-02-04,"Yangon, Myanmar",Yangon International Airport (VYYY),24.84,21.89,29.12,20.58,78.8,0.0,0,117.0,9.9,13.59,1011.18,429.0,3.3,9653.0,1,7.23,-0.69,0.0,0.0,25.3
2015-02-05,"Yangon, Myanmar",Yangon International Airport (VYYY),25.3,20.98,29.8,21.44,76.4,0.0,0,215.0,6.92,11.05,1014.69,643.0,2.0,9205.0,1,8.81,3.51,0.0,0.0,24.44
2015-02-06,"Yangon, Myanmar",Yangon International Airport (VYYY),24.44,20.77,30.29,20.2,83.1,0.0,0,153.0,7.73,9.66,1013.07,446.0,3.8,10266.0,1,9.53,-1.62,0.0,0.0,24.64
2015-02-07,"Yangon, Myanmar",Yangon International Airport (VYYY),24.64,21.35,29.56,21.32,67.7,0.0,0,215.0,10.13,12.19,1011.47,567.0,0.6,11076.0,1,8.21,-1.6,0.0,0.0,25.3
2015-02-08,"Yangon, Myanmar",Yangon International Airport (VYYY),25.3,21.64,29.88,23.78,75.5,25.71,0,229.0,11.6,13.73,1011.77,539.0,3.0,7358.0,8,8.24,0.3,25.71,25.71,25.59
2015-02-09,"Yangon, Myanmar",Yangon International Airport (VYYY),25.59,21.27,32.14,23.41,75.6,0.0,0,191.0,5.96,7.06,1009.0,436.0,0.4,9702.0,1,10.87,-2.76,25.71,25.71,25.13
2015-02-10,"Yangon, Myanmar",Yangon International Airport (VYYY),25.13,20.87,31.0,22.67,84.4,0.0,0,215.0,7.05,8.26,1015.54,359.0,2.8,8557.0,1,10.14,6.54,25.71,25.71,24.28
2015-02-11,"Yangon, Myanmar",Yangon International Airport (VYYY),24.28,20.27,28.87,21.04,80.3,0.0,0,228.0,7.17,7.21,1013.36,527.0,2.9,11943.0,1,8.6,-2.18,0.0,25.71,24.65
2015-02-12,"Yangon, Myanmar",Yangon International Airport (VYYY),24.65,21.24,29.45,20.8,84.4,0.0,0,227.0,10.29,,1011.22,518.0,1.0,12474.0,1,8.2,-2.14,0.0,25.71,24.29
2015-02-13,"Yangon, Myanmar",Yangon International Airport (VYYY),24.29,21.44,29.85,20.28,98.0,0.0,0,260.0,9.03,13.84,1011.35,442.0,0.9,10918.0,1,8.41,0.12,0.0,25.71,24.83
2015-02-14,"Yangon, Myanmar",Yangon International Airport (VYYY),24.83,22.26,29.83,23.33,88.6,0.0,0,220.0,7.53,8.54,1014.7,539.0,1.7,11172.0,1,7.57,3.36,0.0,25.71,24.9
2015-02-15,"Yangon, Myanmar",Yangon International Airport (VYYY),24.9,20.85,30.26,21.35,87.0,0.0,0,206.0,7.27,7.63,1013.7,588.0,2.5,10338.0,1,9.42,-1.0,0.0,0.0,22.12
2015-02-16,"Yangon, Myanmar",Yangon International Airport (VYYY),22.12,18.8,27.76,20.96,76.9,0.0,0,235.0,4.93,10.02,1010.05,552.0,1.1,11302.0,1,8.96,-3.65,0.0,0.0,26.03
2015-02-17,"Yangon, Myanmar",Yangon International Airport (VYYY),26.03,22.86,31.93,24.16,79.0,0.0,0,226.0,5.3,5.7,1012.71,528.0,1.6,9242.0,1,9.07,2.65,0.0,0.0,24.11
2015-02-18,"Yangon, Myanmar",Yangon International Airport (VYYY),24.11,20.89,28.81,20.78,79.0,0.0,0,195.0,8.98,11.96,1011.43,495.0,3.4,9293.0,1,7.92,-1.28,0.0,0.0,23.66
2015-02-19,"Yangon, Myanmar",Yangon International Airport (VYYY),23.66,20.58,28.75,20.0,82.2,0.0,0,213.0,6.67,11.39,1014.32,410.0,2.1,9994.0,1,8.17,2.89,0.0,0.0,24.78
2015-02-20,"Yangon, Myanmar",Yangon International Airport (VYYY),24.78,20.77,30.82,21.95,76.4,0.0,0,130.0,5.59,9.53,1012.33,487.0,2.7,8767.0,1,10.05,-1.99,0.0,0.0,24.2
2015-02-21,"Yangon, Myanmar",Yangon International Airport (VYYY),24.2,20.6,28.32,19.96,74.1,0.0,0,159.0,3.94,4.47,1015.75,444.0,3.6,7158.0,1,7.73,3.42,0.0,0.0,24.77
2015-02-22,"Yangon, Myanmar",Yangon International Airport (VYYY),24.77,21.49,29.94,20.03,84.9,0.0,0,203.0,8.18,12.65,1010.1,483.0,2.8,8309.0,1,8.44,-5.65,0.0,0.0,24.36
2015-02-23,"Yangon, Myanmar",Yangon International Airport (VYYY),24.36,21.2,28.26,21.35,80.8,0.0,0,230.0,5.75,5.97,1012.35,551.0,0.4,10026.0,1,7.05,2.24,0.0,0.0,25.44
2015-02-24,"Yangon, Myanmar",Yangon International Airport (VYYY),25.44,21.18,30.87,21.97,76.2,0.0,0,294.0,5.0,8.26,1013.97,303.0,1.0,7490.0,1,9.7,1.62,0.0,0.0,26.02
2015-02-25,"Yangon, Myanmar",Yangon International Airport (VYYY),26.02,21.69,31.75,23.32,80.7,0.0,0,224.0,6.83,10.86,1012.24,369.0,0.0,10527.0,1,10.06,-1.74,0.0,0.0,21.79
2015-02-26,"Yangon, Myanmar",Yangon International Airport (VYYY),21.79,17.39,27.17,19.88,84.4,0.0,0,214.0,4.61,6.82,1011.74,425.0,3.3,11586.0,1,9.78,-0.5,0.0,0.0,24.98
2015-02-27,"Yangon, Myanmar",Yangon International Airport (VYYY),24.98,21.3,29.8,22.04,73.5,0.0,0,175.0,8.4,8.96,1010.19,591.0,1.8,11248.0,1,8.5,-1.55,0.0,0.0,24.83
2015-02-28,"Yangon, Myanmar",Yangon International Airport (VYYY),24.83,20.48,29.07,22.64,75.7,0.0,0,179.0,7.54,10.54,1015.33,440.0,2.3,11155.0,1,8.58,5.14,0.0,0.0,24.22
2015-03-01,"Yangon, Myanmar",Yangon International Airport (VYYY),24.22,20.19,28.25,21.44,78.6,0.0,0,207.0,4.58,5.05,1012.32,573.0,2.3,10942.0,1,8.06,-3.01,0.0,0.0,24.84
2015-03-02,"Yangon, Myanmar",Yangon International Airport (VYYY),24.84,21.8,29.39,20.22,79.6,,0,221.0,7.63,11.12,1009.85,496.0,1.1,9329.0,1,7.59,-2.47,0.0,0.0,24.95
2015-03-03,"Yangon, Myanmar",Yangon International Airport (VYYY),24.95,20.46,30.53,22.92,83.2,0.0,0,163.0,7.83,15.98,1017.52,433.0,3.3,10089.0,1,10.07,7.68,0.0,0.0,26.66
2015-03-04,"Yangon, Myanmar",Yangon International Airport (VYYY),26.66,22.06,32.07,22.17,79.6,0.0,0,175.0,4.99,6.34,1011.2,498.0,2.5,10319.0,1,10.0,-6.33,0.0,0.0,24.24
2015-03-05,"Yangon, Myanmar",Yangon International Airport (VYYY),24.24,20.59,28.72,22.52,86.7,0.0,0,232.0,9.74,10.71,1009.95,539.0,1.6,10251.0,1,8.13,-1.25,0.0,0.0,24.89
2015-03-06,"Yangon, Myanmar",Yangon International Airport (VYYY),24.89,21.07,29.86,21.17,84.0,0.0,0,228.0,11.88,12.77,1013.79,649.0,,9266.0,1,8.79,3.85,0.0,0.0,25.72
2015-03-07,"Yangon, Myanmar",Yangon International Airport (VYYY),25.72,21.76,30.18,23.29,82.0,0.0,0,168.0,9.8,13.09,1012.4,522.0,,11132.0,1,8.42,-1.4,0.0,0.0,25.52
2015-03-08,"Yangon, Myanmar",Yangon International Airport (VYYY),25.52,21.15,30.41,21.15,77.7,0.0,0,163.0,3.83,12.91,1011.62,491.0,2.5,10948.0,1,9.26,-0.78,0.0,0.0,24.21
2015-03-09,"Yangon, Myanmar",Yangon International Airport (VYYY),24.21,20.56,28.28,21.64,74.4,0.0,0,303.0,8.36,14.27,1010.97,536.0,2.5,9149.0,1,7.73,-0.65,0.0,0.0,27.83
2015-03-10,"Yangon, Myanmar",Yangon International Airport (VYYY),27.83,23.97,32.04,24.56,74.5,0.0,0,176.0,7.74,9.34,1009.29,497.0,3.6,10491.0,1,8.07,-1.69,0.0,0.0,24.68
2015-03-11,"Yangon, Myanmar",Yangon International Airport (VYYY),24.68,21.02,30.09,21.2,75.0,0.0,0,231.0,7.26,11.77,1011.85,434.0,1.0,8198.0,1,9.07,2.57,0.0,0.0,23.89
2015-03-12,"Yangon, Myanmar",Yangon International Airport (VYYY),23.89,19.74,28.04,19.62,67.1,0.0,0,179.0,9.78,13.41,1009.8,367.0,2.0,9246.0,1,8.3,-2.05,0.0,0.0,23.88
2015-03-13,"Yangon, Myanmar",Yangon International Airport (VYYY),23.88,20.6,28.82,20.8,80.8,0.0,0,173.0,8.3,8.96,1011.51,531.0,1.7,9968.0,1,8.22,1.71,0.0,0.0,26.71
2015-03-14,"Yangon, Myanmar",Yangon International Airport (VYYY),26.71,23.17,30.88,22.51,73.7,10.72,0,212.0,9.47,15.13,1010.9,334.0,5.4,8594.0,8,7.7,-0.6,10.72,10.72,24.26
2015-03-15,"Yangon, Myanmar",Yangon International Airport (VYYY),24.26,20.41,29.59,21.11,86.8,0.0,0,154.0,4.65,5.08,1009.41,427.0,0.7,9703.0,1,9.18,-1.5,10.72,10.72,26.91
2015-03-16,"Yangon, Myanmar",Yangon International Airport (VYYY),26.91,22.99,32.03,24.45,80.6,0.0,0,264.0,6.91,7.42,1013.65,521.0,4.1,9796.0,3,9.04,4.24,10.72,10.72,25.45
2015-03-17,"Yangon, Myanmar",Yangon International Airport (VYYY),25.45,21.14,29.69,22.21,84.7,0.0,0,229.0,8.65,19.1,1016.01,434.0,2.1,9909.0,1,8.55,2.36,0.0,10.72,25.38
2015-03-18,"Yangon, Myanmar",Yangon International Airport (VYYY),25.38,22.24,30.65,21.85,79.7,0.0,0,194.0,9.24,11.45,1011.95,468.0,1.7,9348.0,1,8.41,-4.06,0.0,10.72,26.16
2015-03-19,"Yangon, Myanmar",Yangon International Airport (VYYY),26.16,22.45,29.93,23.55,72.3,0.0,0,212.0,4.51,8.73,1013.68,463.0,3.0,9343.0,1,7.48,1.72,0.0,10.72,25.45
2015-03-20,"Yangon, Myanmar",Yangon International Airport (VYYY),25.45,20.89,30.38,22.61,70.6,0.0,0,53.0,4.05,5.64,1012.85,536.0,0.7,9969.0,1,9.49,-0.82,0.0,10.72,26.55
2015-03-21,"Yangon, Myanmar",Yangon International Airport (VYYY),26.55,22.69,32.06,23.95,86.8,0.0,0,189.0,7.99,9.16,1011.79,408.0,3.5,10437.0,1,9.37,-1.06,0.0,0.0,26.75
2015-03-22,"Yangon, Myanmar",Yangon International Airport (VYYY),26.75,22.72,31.98,24.04,70.3,0.0,0,203.0,7.84,8.58,1012.22,529.0,4.3,8488.0,3,9.26,0.43,0.0,0.0,27.61
2015-03-23,"Yangon, Myanmar",Yangon International Airport (VYYY),27.61,23.62,32.99,24.4,75.0,0.0,0,188.0,5.92,15.22,1010.27,425.0,3.3,9630.0,1,9.38,-1.95,0.0,0.0,26.59
2015-03-24,"Yangon, Myanmar",Yangon International Airport (VYYY),26.59,22.66,30.93,24.95,78.8,0.0,0,225.0,4.86,8.92,1009.49,526.0,2.1,9910.0,1,8.27,-0.78,0.0,0.0,27.29
2015-03-25,"Yangon, Myanmar",Yangon International Airport (VYYY),27.29,23.69,32.0,22.66,74.5,0.0,0,294.0,9.29,9.78,1011.41,364.0,4.9,9681.0,3,8.31,1.92,0.0,0.0,24.97
2015-03-26,"Yangon, Myanmar",Yangon International Airport (VYYY),24.97,21.02,28.91,21.76,72.1,0.0,0,267.0,2.69,17.51,1007.75,409.0,3.1,9331.0,1,7.9,-3.65,0.0,0.0,24.61
2015-03-27,"Yangon, Myanmar",Yangon International Airport (VYYY),24.61,20.97,29.01,23.06,85.5,0.0,0,280.0,8.28,14.43,1013.15,387.0,2.1,9065.0,1,8.05,5.4,0.0,0.0,26.17
2015-03-28,"Yangon, Myanmar",Yangon International Airport (VYYY),26.17,23.0,30.97,22.43,76.6,2.01,0,260.0,11.05,13.72,1012.15,456.0,3.3,8967.0,7,7.97,-1.01,2.01,2.01,25.55
2015-03-29,"Yangon, Myanmar",Yangon International Airport (VYYY),25.55,21.7,31.1,21.67,85.8,0.0,0,190.0,8.09,9.85,1011.43,459.0,2.5,7074.0,1,9.41,-0.72,2.01,2.01,26.47
2015-03-30,"Yangon, Myanmar",Yangon International Airport (VYYY),26.47,22.08,30.58,22.96,87.9,0.0,0,207.0,8.59,9.12,1009.64,460.0,2.0,8133.0,1,8.5,-1.79,2.01,2.01,26.85
2015-03-31,"Yangon, Myanmar",Yangon International Airport (VYYY),26.85,23.87,30.66,23.79,80.7,0.0,0,252.0,11.54,15.01,1012.22,362.0,2.7,8988.0,1,6.79,2.58,0.0,2.01,27.98
2015-04-01,"Yangon, Myanmar",Yangon International Airport (VYYY),27.98,24.18,33.56,24.21,74.7,0.0,0,105.0,9.71,12.69,1008.79,439.0,3.7,,1,9.38,-3.42,0.0,2.01,28.35
2015-04-02,"Yangon, Myanmar",Yangon International Airport (VYYY),28.35,25.67,33.0,24.75,81.8,0.0,0,241.0,9.66,13.6,1011.2,435.0,5.7,8399.0,3,7.33,2.41,0.0,2.01,25.48
2015-04-03,"Yangon, Myanmar",Yangon International Airport (VYYY),25.48,21.44,29.7,22.16,82.8,13.59,0,110.0,8.37,11.21,1011.89,470.0,3.4,8718.0,8,8.26,0.69,13.59,15.61,24.85
2015-04-04,"Yangon, Myanmar",Yangon International Airport (VYYY),24.85,19.41,29.36,22.42,83.1,18.64,0,239.0,7.26,12.55,1014.03,502.0,4.6,8219.0,8,9.95,2.14,32.24,32.24,26.49
2015-04-05,"Yangon, Myanmar",Yangon International Airport (VYYY),26.49,22.73,30.99,23.94,82.5,0.0,0,163.0,7.33,9.05,1007.33,378.0,4.6,8159.0,3,8.26,-6.7,32.24,32.24,27.64
2015-04-06,"Yangon, Myanmar",Yangon International Airport (VYYY),27.64,23.56,32.06,24.87,89.1,0.0,0,262.0,12.09,13.53,1011.77,272.0,4.0,8770.0,1,8.49,4.43,18.64,32.24,27.48
2015-04-07,"Yangon, Myanmar",Yangon International Airport (VYYY),27.48,24.16,31.88,24.11,78.2,29.7,0,206.0,8.39,12.65,1008.27,323.0,3.0,4743.0,8,7.72,-3.5,29.7,61.94,26.24
2015-04-08,"Yangon, Myanmar",Yangon International Airport (VYYY),26.24,22.18,31.46,21.89,78.9,0.0,0,160.0,6.31,7.51,1011.81,456.0,2.8,8306.0,1,9.28,3.54,29.7,61.94,27.03
2015-04-09,"Yangon, Myanmar",Yangon International Airport (VYYY),27.03,23.52,31.26,23.79,80.9,17.88,0,179.0,6.96,7.7,1013.56,403.0,3.2,7318.0,8,7.73,1.76,47.58,79.82,25.73
2015-04-10,"Yangon, Myanmar",Yangon International Airport (VYYY),25.73,22.09,30.99,22.79,81.4,0.0,0,260.0,7.11,8.11,1009.64,504.0,4.8,9206.0,3,8.9,-3.92,17.88,66.23,28.32
2015-04-11,"Yangon, Myanmar",Yangon International Airport (VYYY),28.32,23.92,33.72,24.15,76.0,2.72,0,258.0,7.94,11.22,1010.36,249.0,2.5,7753.0,7,9.8,0.72,20.6,50.31,27.77
2015-04-12,"Yangon, Myanmar",Yangon International Airport (VYYY),27.77,24.57,32.08,26.16,69.3,0.0,0,198.0,10.69,10.84,1007.05,348.0,2.9,7245.0,1,7.51,-3.31,2.72,50.31,26.19
2015-04-13,"Yangon, Myanmar",Yangon International Airport (VYYY),26.19,22.53,30.79,24.26,90.8,0.0,0,274.0,,5.88,1008.75,342.0,2.6,7710.0,1,8.26,1.7,2.72,50.31,26.3
2015-04-14,"Yangon, Myanmar",Yangon International Airport (VYYY),26.3,23.28,31.42,24.03,78.8,0.0,0,179.0,5.06,9.02,1009.99,380.0,4.3,8009.0,3,8.14,1.24,0.0,20.6,27.28
2015-04-15,"Yangon, Myanmar",Yangon International Airport (VYYY),27.28,23.02,31.94,25.09,75.9,21.13,0,248.0,9.44,10.61,1008.7,282.0,5.0,4819.0,8,8.93,-1.29,21.13,41.73,29.27
2015-04-16,"Yangon, Myanmar",Yangon International Airport (VYYY),29.27,25.42,33.87,24.91,87.2,0.0,0,161.0,7.39,10.19,1007.9,211.0,5.5,9466.0,3,8.44,-0.81,21.13,23.85,26.84
2015-04-17,"Yangon, Myanmar",Yangon International Airport (VYYY),26.84,22.85,32.49,22.93,77.4,0.0,0,201.0,7.09,11.29,1009.88,271.0,5.2,8393.0,3,9.64,1.98,21.13,23.85,27.34
2015-04-18,"Yangon, Myanmar",Yangon International Airport (VYYY),27.34,24.08,32.4,23.52,75.6,0.0,0,171.0,8.64,11.99,1012.53,,4.0,8553.0,3,8.32,2.65,0.0,21.13,27.05
2015-04-19,"Yangon, Myanmar",Yangon International Airport (VYYY),27.05,23.56,31.21,25.23,85.0,0.0,0,275.0,9.35,9.95,1009.64,268.0,5.2,8435.0,3,7.65,-2.89,0.0,21.13,27.05
2015-04-20,"Yangon, Myanmar",Yangon International Airport (VYYY),27.05,23.07,30.86,25.16,81.4,14.4,0,248.0,5.46,7.5,1008.94,400.0,5.2,6259.0,8,7.79,-0.69,14.4,35.53,27.6
2015-04-21,"Yangon, Myanmar",Yangon International Airport (VYYY),27.6,23.96,33.39,23.9,81.3,5.35,0,199.0,7.58,10.68,1009.24,435.0,7.0,6806.0,7,9.43,0.29,19.75,40.88,26.68
2015-04-22,"Yangon, Myanmar",Yangon International Airport (VYYY),26.68,22.02,31.39,22.0,81.7,7.8,0,277.0,7.62,7.82,1011.4,160.0,5.6,6466.0,7,9.38,2.16,27.55,27.55,27.76
2015-04-23,"Yangon, Myanmar",Yangon International Airport (VYYY),27.76,23.99,32.42,24.64,83.4,0.0,0,162.0,5.96,6.91,1010.5,406.0,6.6,7417.0,4,8.42,-0.91,13.15,27.55,27.52
2015-04-24,"Yangon, Myanmar",Yangon International Airport (VYYY),27.52,22.82,32.07,24.27,85.9,24.52,0,224.0,9.02,12.28,1008.73,347.0,6.1,3910.0,8,9.25,-1.77,32.32,52.07,27.29
2015-04-25,"Yangon, Myanmar",Yangon International Airport (VYYY),27.29,23.62,32.66,24.32,89.7,0.0,0,177.0,7.9,8.96,1011.62,297.0,4.8,7874.0,3,9.04,2.89,24.52,52.07,29.42
2015-04-26,"Yangon, Myanmar",Yangon International Airport (VYYY),29.42,25.45,33.75,25.98,81.3,0.0,0,268.0,8.54,8.85,1008.82,259.0,4.5,6582.0,3,8.3,-2.8,24.52,52.07,28.85
2015-04-27,"Yangon, Myanmar",Yangon International Airport (VYYY),28.85,24.59,33.07,28.54,78.7,15.32,0,212.0,7.66,8.73,1006.18,374.0,7.7,5697.0,8,8.49,-2.63,15.32,52.99,26.39
2015-04-28,"Yangon, Myanmar",Yangon International Airport (VYYY),26.39,22.72,31.51,22.72,73.3,12.96,0,235.0,11.33,12.23,1008.08,319.0,4.0,4969.0,8,8.79,1.9,28.28,60.6,27.75
2015-04-29,"Yangon, Myanmar",Yangon International Airport (VYYY),27.75,23.87,33.08,24.16,79.3,35.17,0,268.0,7.25,7.27,1008.85,258.0,5.7,2360.0,25,9.21,0.76,63.45,87.97,27.89
2015-04-30,"Yangon, Myanmar",Yangon International Airport (VYYY),27.89,23.92,32.89,25.1,80.2,1.45,0,260.0,9.33,10.09,1012.4,267.0,6.2,7382.0,7,8.97,3.55,49.58,89.42,29.6
2015-05-01,"Yangon, Myanmar",Yangon International Airport (VYYY),29.6,25.65,33.73,26.47,92.4,6.85,0,262.0,7.27,7.35,1010.5,310.0,6.4,4525.0,7,8.08,-1.9,43.47,71.74,29.6
2015-05-02,"Yangon, Myanmar",Yangon International Airport (VYYY),29.6,25.87,34.28,24.37,87.4,29.53,0,265.0,7.87,9.71,1010.01,174.0,6.3,3017.0,8,8.41,-0.49,37.83,101.28,27.97
